questionText,optionA,optionB,optionC,optionD,correctAnswer
What is the capital of India?,Mumbai,Delhi,Chennai,Kolkata,B
How many continents are there in the world?,5,6,7,8,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What is the largest ocean on Earth?,Atlantic,Indian,Pacific,Arctic,C
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Isaac Newton,Albert Einstein,B
How many bones are there in the human body?,106,206,306,406,B
Which gas do plants take in during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the national bird of India?,Sparrow,Peacock,Parrot,Eagle,B
How many days are there in a leap year?,364,365,366,367,C
Which is the smallest state in India?,Goa,Sikkim,Tripura,Mizoram,A
What is the boiling point of water in Celsius?,50,75,100,150,C
Which animal is called the King of the Jungle?,Elephant,Tiger,Lion,Bear,C
How many colors are there in a rainbow?,5,6,7,8,C
Who was the first Prime Minister of India?,Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,Rajendra Prasad,B
What is the national flower of India?,Rose,Sunflower,Lotus,Lily,C
